DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
241000524,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1800,10,West Valley,1035,1,330,BURGLARY FROM VEHICLE,1300 1822 1609 1402 0321 0344 1414,40,M,H,101,STREET,,,IC,Invest Cont,330,998,,,ETIWANDA                     AV,KITTRIDGE                    ST,34.1903,-118.5317
240904603,01/18/2024 12:00:00 AM,01/17/2024 12:00:00 AM,0040,09,Van Nuys,0964,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1609,43,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,740,,,,14200    RIVERSIDE                    DR,,34.1576,-118.4422
241205212,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,0100,12,77th Street,1231,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1300 0344 0385 1822,29,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,331,,,,4000 W  59TH                         PL,,33.9862,-118.344
240604943,01/19/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1100,06,Hollywood,0635,2,662,"BUNCO, GRAND THEFT",0701 0913 0344,75,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,662,,,,6700    MILNER                       RD,,34.1085,-118.335
240804608,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,0700,08,West LA,0832,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",0421,28,F,O,108,PARKING LOT,511,VERBAL THREAT,AO,Adult Other,956,,,,11600    SAN VICENTE                  BL,,34.0511,-118.4643
241604512,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1100,16,Foothill,1677,1,310,BURGLARY,0344 1307 1609,72,F,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,10200    ROSCOE                       BL,,34.2218,-118.353
240105255,01/19/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1700,01,Central,0111,1,330,BURGLARY FROM VEHICLE,1300 0344 1601,59,F,O,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330,,,,600 N  BROADWAY,,34.0585,-118.2403
240404527,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,2300,04,Hollenbeck,0438,1,761,BRANDISH WEAPON,0334,43,M,H,101,STREET,207,OTHER KNIFE,IC,Invest Cont,761,,,,5100    ITHACA                       AV,,34.0722,-118.1754
241304748,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,0358,13,Newton,1362,1,330,BURGLARY FROM VEHICLE,1609 0344 0358 1307 1822,41,F,B,707,GARAGE/CARPORT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330,,,,5000 S  MAIN                         ST,,33.9974,-118.274
240105170,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1830,01,Central,0153,2,888,TRESPASSING,0910 1501,0,X,X,902,MTA - RED LINE - PERSHING SQUARE,,,IC,Invest Cont,888,,,,500 S  HILL                         ST,,34.0488,-118.2518
241804784,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,2235,18,Southeast,1871,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1609 2000 0913 0417 1601 1814,22,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,745,,,,800 W  ROSECRANS                    AV,,33.9019,-118.2893
240105116,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1328,01,Central,0122,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2032 0344,41,F,H,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,IC,Invest Cont,341,,,,100 N  HILL                         ST,,34.0572,-118.2481
240204906,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1910,02,Rampart,0256,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0104 0344,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,1700 W  6TH                          ST,,34.0573,-118.2699
240204889,01/18/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1600,02,Rampart,0261,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,0519 1822,55,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,821,,,,2200 W  8TH                          ST,,34.0554,-118.2789
242104731,01/18/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1300,21,Topanga,2175,1,310,BURGLARY,1402 1275 0344,30,M,W,507,CONDOMINIUM/TOWNHOUSE,,,IC,Invest Cont,310,,,,22100    BURBANK                      BL,,34.1719,-118.609
242004601,01/18/2024 12:00:00 AM,01/17/2024 12:00:00 AM,0030,20,Olympic,2023,2,900,VIOLATION OF COURT ORDER,2000 0400 0416 0432 2038 1813 1243,39,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,900,,,,400 S  KINGSLEY                     DR,,34.0672,-118.3028
242104697,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,2030,21,Topanga,2156,2,888,TRESPASSING,2004,26,M,X,727,SHOPPING MALL (COMMON AREA),,,IC,Invest Cont,888,,,,6100    TOPANGA CANYON               BL,,34.1811,-118.6059
240105103,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1015,01,Central,0182,1,330,BURGLARY FROM VEHICLE,1609 0400 1300 0386 1302 0344 1307,47,M,W,108,PARKING LOT,,,IC,Invest Cont,330,,,,1100 S  OLIVE                        ST,,34.0409,-118.2609
240504630,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,0630,05,Harbor,0587,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0360 0913 0602,62,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,740,,,,700 W  31ST                         ST,,33.7161,-118.2916
241205085,01/18/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1000,12,77th Street,1248,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,900 W  68TH                         ST,,33.9782,-118.2893
241205062,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,0900,12,77th Street,1257,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0429 0448 0913 1813 2000,27,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236,,,,800 W  79TH                         ST,,33.9693,-118.285
240704706,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,2134,07,Wilshire,0702,2,888,TRESPASSING,1501,32,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,888,,,,700 N  OGDEN                        DR,,34.0838,-118.3595
241105170,01/29/2024 12:00:00 AM,01/17/2024 12:00:00 AM,0800,11,Northeast,1145,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,0,X,X,238,TELECOMMUNICATION FACILITY/LOCATION,,,IC,Invest Cont,341,,,,2200    RIVERSIDE                    DR,,34.1026,-118.2518
240404526,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1500,04,Hollenbeck,0479,2,624,BATTERY - SIMPLE ASSAULT,0444 0416,44,F,H,104,DRIVEWAY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,3500    WHITTIER                     BL,,34.0267,-118.1985
242005028,01/18/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1100,20,Olympic,2063,1,330,BURGLARY FROM VEHICLE,1822 1202 0354 0344 1307 1609,73,F,K,108,PARKING LOT,,,IC,Invest Cont,330,,,,2900 W  PICO                         BL,,34.049,-118.3066
